iter	Passed	Remaining
0	2	662
1	4	586
2	6	598
3	8	597
4	10	582
5	12	581
6	14	584
7	16	571
8	18	565
9	20	572
10	22	567
11	24	559
12	26	551
13	28	548
14	30	547
15	32	544
16	33	539
17	36	538
18	37	533
19	39	529
20	41	523
21	43	521
22	45	519
23	46	514
24	48	510
25	50	507
26	52	503
27	54	500
28	55	496
29	57	493
30	59	490
31	61	490
32	63	487
33	64	483
34	66	480
35	69	481
36	70	478
37	72	475
38	74	473
39	76	471
40	78	469
41	80	467
42	82	466
43	84	464
44	85	461
45	87	459
46	89	457
47	91	453
48	93	453
49	95	451
50	97	448
51	98	446
52	100	444
53	102	441
54	104	439
55	106	437
56	108	435
57	109	433
58	111	431
59	113	428
60	114	425
61	116	424
62	118	422
63	120	419
64	122	417
65	124	415
66	126	414
67	128	413
68	129	410
69	131	407
70	133	405
71	134	402
72	136	400
73	138	397
74	139	395
75	141	393
76	143	391
77	145	390
78	147	388
79	149	386
80	151	384
81	152	382
82	155	381
83	156	379
84	158	376
85	160	374
86	161	371
87	163	369
88	164	366
89	166	364
90	168	362
91	170	360
92	171	358
93	173	355
94	175	353
95	176	351
96	178	349
97	180	347
98	181	345
99	183	343
100	185	341
101	187	339
102	188	337
103	190	335
104	192	333
105	194	331
106	195	329
107	197	327
108	199	325
109	201	323
110	202	321
111	204	319
112	206	317
113	207	315
114	209	313
115	211	311
116	213	309
117	215	308
118	217	306
119	219	305
120	221	303
121	223	301
122	225	300
123	226	298
124	228	296
125	230	294
126	232	292
127	234	290
128	235	288
129	237	286
130	239	284
131	241	283
132	243	281
133	245	280
134	247	278
135	249	276
136	251	274
137	252	272
138	254	271
139	256	269
140	258	267
141	259	265
142	261	263
143	263	261
144	264	259
145	266	257
146	268	255
147	270	253
148	272	252
149	274	250
150	275	248
151	277	246
152	279	245
153	281	243
154	283	241
155	285	239
156	287	238
157	289	236
158	291	234
159	292	232
160	294	230
161	296	228
162	298	226
163	299	224
164	301	223
165	303	221
166	305	219
167	307	217
168	308	215
169	310	213
170	312	211
171	313	209
172	315	208
173	317	206
174	319	204
175	321	202
176	322	200
177	324	198
178	326	196
179	327	194
180	329	193
181	332	191
182	334	189
183	336	188
184	337	186
185	339	184
186	341	182
187	343	180
188	344	178
189	346	177
190	348	175
191	350	173
192	351	171
193	353	169
194	355	167
195	357	165
196	358	163
197	360	162
198	362	160
199	365	158
200	366	157
201	368	155
202	370	153
203	372	151
204	373	149
205	376	148
206	378	146
207	380	144
208	382	142
209	383	140
210	385	138
211	387	137
212	389	135
213	391	133
214	393	131
215	395	129
216	397	128
217	399	126
218	400	124
219	402	122
220	404	120
221	406	119
222	408	117
223	410	115
224	412	113
225	414	111
226	416	110
227	417	108
228	419	106
229	421	104
230	423	102
231	424	100
232	426	98
233	428	96
234	429	95
235	431	93
236	433	91
237	435	89
238	436	87
239	438	85
240	439	83
241	441	82
242	443	80
243	444	78
244	446	76
245	448	74
246	449	72
247	451	71
248	453	69
249	454	67
250	456	65
251	457	63
252	459	61
253	461	59
254	463	58
255	464	56
256	466	54
257	468	52
258	469	50
259	471	48
260	473	47
261	474	45
262	476	43
263	478	41
264	480	39
265	482	38
266	484	36
267	485	34
268	487	32
269	489	30
270	491	28
271	493	27
272	494	25
273	496	23
274	498	21
275	500	19
276	502	18
277	504	16
278	505	14
279	507	12
280	509	10
281	511	9
282	512	7
283	514	5
284	516	3
285	518	1
286	519	0
